"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P1";"Pin_Header_Straight_1x04";1;"CONN_01X04";;;
2;"P2";"Pin_Header_Angled_1x04";1;"CONN_01X04";;;
3;"TO_FLOPPY1";"Socket_Strip_Straight_2x17";1;"CONN_02X17";;;
4;"U1";"DIP-14_W7.62mm";1;"74LS38";;;
5;"C1,C4";"C_1206_HandSoldering";2;"10uF";;;
6;"C2,C3";"C_1206_HandSoldering";2;"100nF";;;
7;"LOGO";"Symbol_OSHW-Logo_SilkScreen";1;"Symbol_OSHW-Logo_SilkScreen";;;
8;"D1";"LED_1206";1;"Led_Small";;;
9;"R1,R2,R3,R4,R5,R7";"R_1206_HandSoldering";6;"2.2K";;;
10;"R6";"R_1206_HandSoldering";1;"2,2K";;;
11;"R8";"R_1206_HandSoldering";1;"330";;;
12;"TO_AMIGA1";"IDC-Header_2x17_P2.54mm_Vertical_Lock";1;"CONN_02X17";;;
